,Listing Price,Address,Number of Bedrooms,Number of Bathrooms,Area(sq-ft.),Property Type
188,"USD $206,067","Sector 33 Sohna, Gurgaon, Haryana",3,3,"1,720.00 sq ft",Apartment
189,"USD $234,821","Sector 33 Sohna, Gurgaon, Haryana",3,3,"1,960.00 sq ft",Apartment
190,"USD $205,408","Varthur, Bangalore, Karnataka",3,3,"1,800.00 sq ft",Apartment
191,"USD $289,358","Kondapur, Hyderabad, Andhra Pradesh",3,3,"2,597.00 sq ft",Apartment
192,"USD $152,160","Cossipore, Kolkata, West Bengal",3,3,"1,500.00 sq ft",Apartment
193,"USD $203,690","Cossipore, Kolkata, West Bengal",4,4,"1,920.00 sq ft",Apartment
194,"USD $282,339","Kondapur, Hyderabad, Andhra Pradesh",3,3,"2,534.00 sq ft",Apartment
195,"USD $95,843","Cossipore, Kolkata, West Bengal",2,2,910.00 sq ft,Apartment
196,"USD $121,010","Cossipore, Kolkata, West Bengal",3,3,"1,200.00 sq ft",Apartment
197,"USD $93,074","Kollur, Hyderabad, Andhra Pradesh",2,2,"1,295.00 sq ft",Apartment
198,"USD $107,449","Kollur, Hyderabad, Andhra Pradesh",3,3,"1,495.00 sq ft",Apartment
199,"USD $136,197","Kollur, Hyderabad, Andhra Pradesh",3,3,"1,895.00 sq ft",Apartment
200,"USD $114,636","Kollur, Hyderabad, Andhra Pradesh",3,3,"1,595.00 sq ft",Apartment
201,"USD $157,759","Kollur, Hyderabad, Andhra Pradesh",3,3,"2,195.00 sq ft",Apartment
202,"USD $125,805","Mogappair, Chennai, Tamil Nadu",2,2,"1,228.00 sq ft",Apartment
203,"USD $95,849","Mogappair, Chennai, Tamil Nadu",2,2,"1,027.00 sq ft",Apartment
204,"USD $539,141","Sector 63, Gurgaon, Haryana",4,4,"2,700.00 sq ft",Apartment
205,"USD $497,212","Sector 63, Gurgaon, Haryana",3,3,"2,300.00 sq ft",Apartment
206,"USD $95,837","Joka, Kolkata, West Bengal",3,3,"1,333.00 sq ft",Apartment
207,"USD $113,807","Joka, Kolkata, West Bengal",3,3,"1,390.00 sq ft",Apartment
208,"USD $89,845","Joka, Kolkata, West Bengal",2,2,"1,027.00 sq ft",Apartment
209,"USD $92,243","Joka, Kolkata, West Bengal",3,3,"1,283.00 sq ft",Apartment
210,"USD $67,087","Joka, Kolkata, West Bengal",2,2,877.00 sq ft,Apartment
211,"USD $89,288","Porur, Chennai, Tamil Nadu",1,1,"1,079.00 sq ft",Apartment
212,"USD $757,777","Sector 61, Gurgaon, Haryana",4,4,"2,750.00 sq ft",Apartment
213,"USD $115,489","Porur, Chennai, Tamil Nadu",2,2,"1,391.00 sq ft",Apartment
214,"USD $117,962","Porur, Chennai, Tamil Nadu",2,2,"1,410.00 sq ft",Apartment
215,"USD $108,004","Porur, Chennai, Tamil Nadu",2,2,"1,317.00 sq ft",Apartment
216,"USD $128,199","Porur, Chennai, Tamil Nadu",2,2,"1,549.00 sq ft",Apartment
217,"USD $98,167","Porur, Chennai, Tamil Nadu",1,1,"1,192.00 sq ft",Apartment
218,"USD $107,409","Yelahanka, Bangalore, Karnataka",3,3,"1,065.00 sq ft",Apartment
219,"USD $112,754","Yelahanka, Bangalore, Karnataka",3,3,"1,118.00 sq ft",Apartment
220,"USD $118,458","Nagarbhavi, Bangalore, Karnataka",2,2,"1,053.00 sq ft",Apartment
221,"USD $71,884","Kanakapura, Bangalore, Karnataka",1,1,605.00 sq ft,Apartment
222,"USD $128,193","Talaghattapura, Bangalore, Karnataka",3,2,"1,106.00 sq ft",Apartment
223,"USD $94,802","Yelahanka, Bangalore, Karnataka",2,2,940.00 sq ft,Apartment
224,,"Junnasandra, Bangalore, Karnataka",,,,Unit
225,"USD $242,357","New Town, Kolkata, West Bengal",3,3,"1,839.00 sq ft",Apartment
226,"USD $200,580","New Town, Kolkata, West Bengal",3,3,"1,522.00 sq ft",Apartment
227,"USD $258,756","Bhat, Ahmedabad, Gujarat",4,4,"4,455.00 sq ft",Apartment
228,"USD $263,461","Bhat, Ahmedabad, Gujarat",4,4,"4,536.00 sq ft",Apartment
229,"USD $487,182","Sector 36A, Gurgaon, Haryana",3,3,"1,955.00 sq ft",Apartment
230,"USD $492,166","Sector 36A, Gurgaon, Haryana",3,3,"1,975.00 sq ft",Apartment
231,"USD $490,172","Sector 36A, Gurgaon, Haryana",3,2,"1,967.00 sq ft",Apartment
232,"USD $492,415","Sector 36A, Gurgaon, Haryana",3,3,"1,976.00 sq ft",Apartment
233,"USD $632,464","Sector 36A, Gurgaon, Haryana",3,3,"2,538.00 sq ft",Apartment
234,"USD $1,103,946","Sector 36A, Gurgaon, Haryana",4,4,"4,430.00 sq ft",Apartment
