,Listing Price,Address,Number of Bedrooms,Number of Bathrooms,Area(sq-ft.),Property Type
1053,,"Thalambur, Chennai, Tamil Nadu",,,,Unit
1054,,"Thanisandra, Bangalore, Karnataka",,,,Unit
1055,,"Sholinganallur, Chennai, Tamil Nadu",,,,Unit
1056,,"Sarjapur Road Wipro To Railway Crossing, Bangalore, Karnataka",,,,Unit
1057,,"Krishnarajapura, Bangalore, Karnataka",,,,Unit
1058,,"Kannur on Thanisandra Main Road, Bangalore, Karnataka",,,,Unit
1059,,"Kannamangala, Bangalore, Karnataka",,,,Unit
1060,,"Kokapet, Hyderabad, Andhra Pradesh",,,,Unit
1061,"USD $92,920","Rajarhat, Kolkata, West Bengal",3,3,"1,185.00 sq ft",Apartment
1062,,"Rajarhat, Kolkata, West Bengal",,,,Unit
1063,,"Bagaluru Near Yelahanka, Bangalore, Karnataka",,,,Unit
1064,,"Kondapur, Hyderabad, Andhra Pradesh",,,,Unit
1065,,"Gopanpally, Hyderabad, Andhra Pradesh",,,,Unit
1066,,"Yelahanka, Bangalore, Karnataka",,,,Unit
1067,,"Bachupally, Hyderabad, Andhra Pradesh",,,,Unit
1068,,"Kondapur, Hyderabad, Andhra Pradesh",,,,Unit
1069,,"Sector 22 Gurgaon, Gurgaon, Haryana",,,,Unit
1070,,"Sector 81, Gurgaon, Haryana",,,,Unit
1071,,"Alipore, Kolkata, West Bengal",,,,Unit
1072,,"Subramanyapura, Bangalore, Karnataka",,,,Unit
1073,,"Sector 102, Gurgaon, Haryana",,,,Unit
1074,,"Rajarhat, Kolkata, West Bengal",,,,Unit
1075,,"Nagawara, Bangalore, Karnataka",,,,Unit
1076,,"Varthur, Bangalore, Karnataka",,,,Unit
1077,,"Talaghattapura, Bangalore, Karnataka",,,,Unit
1078,,"Varthur, Bangalore, Karnataka",,,,Unit
1079,,"Hebbal, Bangalore, Karnataka",,,,Unit
1080,,"Shaikpet, Hyderabad, Andhra Pradesh",,,,Unit
1081,"USD $134,509","Talaghattapura, Bangalore, Karnataka",3,2,"1,321.00 sq ft",Apartment
1082,,"Kanakapura Road Beyond Nice Ring Road, Bangalore, Karnataka",,,,Unit
1083,"USD $116,292","Mogappair, Chennai, Tamil Nadu",2,2,"1,062.00 sq ft",Apartment
1084,,"Mogappair, Chennai, Tamil Nadu",,,,Unit
1085,,"Thanisandra, Bangalore, Karnataka",,,,Unit
1086,,"Devanahalli, Bangalore, Karnataka",,,,Unit
1087,,"Shaikpet, Hyderabad, Andhra Pradesh",,,,Unit
1088,,"Electronic City Phase 1, Bangalore, Karnataka",,,,Unit
1089,,"Devanahalli, Bangalore, Karnataka",,,,Unit
1090,,"Bagaluru Near Yelahanka, Bangalore, Karnataka",,,,Unit
1091,,"Gachibowli, Hyderabad, Andhra Pradesh",,,,Unit
1092,,"Whitefield Hope Farm Junction, Bangalore, Karnataka",,,,Unit
1093,,"Rajarhat, Kolkata, West Bengal",,,,Unit
1094,,"Sector 79, Gurgaon, Haryana",,,,Unit
1095,,"Jakkur, Bangalore, Karnataka",,,,Unit
1096,,"Varthur, Bangalore, Karnataka",,,,Unit
1097,,"Bagaluru Near Yelahanka, Bangalore, Karnataka",,,,Unit
1098,,"Thanisandra, Bangalore, Karnataka",,,,Unit
1099,,"JP Nagar Phase 7, Bangalore, Karnataka",,,,Unit
1100,,"Kanakapura Road Beyond Nice Ring Road, Bangalore, Karnataka",,,,Unit
1101,,"Dasarahalli on Tumkur Road, Bangalore, Karnataka",,,,Unit
1102,"USD $77,605","Shela, Ahmedabad, Gujarat",3,3,"1,505.00 sq ft",Apartment
1103,,"Shela, Ahmedabad, Gujarat",,,,Unit
1104,,"Whitefield Hope Farm Junction, Bangalore, Karnataka",,,,Unit
1105,,"Bommanahalli, Bangalore, Karnataka",,,,Unit
1106,,"Sector 92, Gurgaon, Haryana",,,,Unit
1107,,"Devanahalli, Bangalore, Karnataka",,,,Unit
1108,,"Kondapur, Hyderabad, Andhra Pradesh",,,,Unit
1109,,"Mahadevapura, Bangalore, Karnataka",,,,Unit
1110,,"Kondapur, Hyderabad, Andhra Pradesh",,,,Unit
1111,,"Sector 90, Gurgaon, Haryana",,,,Unit
1112,,"Bannerghatta, Bangalore, Karnataka",,,,Unit
1113,,"Anagalapura Near Hennur Main Road, Bangalore, Karnataka",,,,Unit
1114,,"Padur, Chennai, Tamil Nadu",,,,Unit
1115,,"Sarjapur Road Wipro To Railway Crossing, Bangalore, Karnataka",,,,Unit
1116,,"Kuthambakkam, Chennai, Tamil Nadu",,,,Unit
1117,,"Konanakunte, Bangalore, Karnataka",,,,Unit
1118,,"Varthur, Bangalore, Karnataka",,,,Unit
1119,,"CHI 5, Greater Noida, Uttar Pradesh",,,,Unit
1120,,"Sector 150, Noida, Uttar Pradesh",,,,Unit
1121,,"Chikkanayakanahalli at Off Sarjapur, Bangalore, Karnataka",,,,Unit
1122,,"Marathahalli, Bangalore, Karnataka",,,,Unit
1123,,"Hitech City, Hyderabad, Andhra Pradesh",,,,Unit
1124,,"Nager Bazar, Kolkata, West Bengal",,,,Unit
1125,,"Whitefield Hope Farm Junction, Bangalore, Karnataka",,,,Unit
1126,,"Pallavaram, Chennai, Tamil Nadu",,,,Unit
1127,,"Sholinganallur, Chennai, Tamil Nadu",,,,Unit
1128,,"Krishnarajapura, Bangalore, Karnataka",,,,Unit
1129,,"Kannur on Thanisandra Main Road, Bangalore, Karnataka",,,,Unit
1130,,"Near Vaishno Devi Circle On SG Highway, Ahmedabad, Gujarat",,,,Unit
1131,"USD $211,517","Bagaluru Near Yelahanka, Bangalore, Karnataka",3,3,"1,492.00 sq ft",Apartment
1132,,"Bagaluru Near Yelahanka, Bangalore, Karnataka",,,,Unit
1133,,"Whitefield Hope Farm Junction, Bangalore, Karnataka",,,,Unit
1134,,"Sector 104, Gurgaon, Haryana",,,,Unit
1135,,"Bagaluru Near Yelahanka, Bangalore, Karnataka",,,,Unit
1136,,"Kannamangala, Bangalore, Karnataka",,,,Unit
1137,,"Bagaluru Near Yelahanka, Bangalore, Karnataka",,,,Unit
1138,,"Kondapur, Hyderabad, Andhra Pradesh",,,,Unit
1139,,"Dum Dum, Kolkata, West Bengal",,,,Unit
1140,,"Kismatpur, Hyderabad, Andhra Pradesh",,,,Unit
1141,,"Kokapet, Hyderabad, Andhra Pradesh",,,,Unit
1142,,"Nayandahalli, Bangalore, Karnataka",,,,Unit
1143,,"Nayandahalli, Bangalore, Karnataka",,,,Unit
1144,,"Nayandahalli, Bangalore, Karnataka",,,,Unit
1145,,"Sector 81, Gurgaon, Haryana",,,,Unit
1146,,"Tellapur, Hyderabad, Andhra Pradesh",,,,Unit
1147,,"Dum Dum, Kolkata, West Bengal",,,,Unit
1148,,"Sector 91, Gurgaon, Haryana",,,,Unit
1149,,"Kogilu, Bangalore, Karnataka",,,,Unit
1150,,"Dasarahalli on Tumkur Road, Bangalore, Karnataka",,,,Unit
1151,,"Hitech City, Hyderabad, Andhra Pradesh",,,,Unit
1152,,"Padur, Chennai, Tamil Nadu",,,,Unit
1153,,"Sanathal, Ahmedabad, Gujarat",,,,Unit
1154,,"Padur, Chennai, Tamil Nadu",,,,Unit
1155,,"Kumaraswamy Layout, Bangalore, Karnataka",,,,Unit
1156,,"Sector 150, Noida, Uttar Pradesh",,,,Unit
1157,,"Moolacheri, Chennai, Tamil Nadu",,,,Unit
1158,,"Vastrapur, Ahmedabad, Gujarat",,,,Unit
1159,,"Thaiyur, Chennai, Tamil Nadu",,,,Unit
1160,,"Budigere Cross, Bangalore, Karnataka",,,,Unit
1161,,"ITPL, Bangalore, Karnataka",,,,Unit
1162,,"Krishnarajapura, Bangalore, Karnataka",,,,Unit
1163,,"Guduvancheri, Chennai, Tamil Nadu",,,,Unit
1164,,"Sector 59, Gurgaon, Haryana",,,,Unit
1165,,"Perungalathur, Chennai, Tamil Nadu",,,,Unit
1166,,"Narayanapura on Hennur Main Road, Bangalore, Karnataka",,,,Unit
1167,,"Sholinganallur, Chennai, Tamil Nadu",,,,Unit
1168,,"Manikonda, Hyderabad, Andhra Pradesh",,,,Unit
1169,,"Sector 86, Gurgaon, Haryana",,,,Unit
1170,,"Mangadu, Chennai, Tamil Nadu",,,,Unit
1171,,"Sector 106, Gurgaon, Haryana",,,,Unit
1172,,"Kelambakkam, Chennai, Tamil Nadu",,,,Unit
1173,,"Dasarahalli on Tumkur Road, Bangalore, Karnataka",,,,Unit
1174,,"Gota, Ahmedabad, Gujarat",,,,Unit
1175,,"Hitech City, Hyderabad, Andhra Pradesh",,,,Unit
1176,,"Joka, Kolkata, West Bengal",,,,Unit
1177,,"Vastrapur, Ahmedabad, Gujarat",,,,Unit
1178,"USD $118,333","Mogappair, Chennai, Tamil Nadu",2,2,"1,190.00 sq ft",Apartment
1179,,"Mogappair, Chennai, Tamil Nadu",,,,Unit
1180,,"Gottigere, Bangalore, Karnataka",,,,Unit
1181,,"Talaghattapura, Bangalore, Karnataka",,,,Unit
1182,,"Budigere Cross, Bangalore, Karnataka",,,,Unit
1183,,"Talaghattapura, Bangalore, Karnataka",,,,Unit
1184,,"Subramanyapura, Bangalore, Karnataka",,,,Unit
1185,,"Sector 33 Sohna, Gurgaon, Haryana",,,,Unit
1186,,"Tollygunge, Kolkata, West Bengal",,,,Unit
1187,,"Sector 77, Gurgaon, Haryana",,,,Unit
1188,,"Rajendra Nagar, Hyderabad, Andhra Pradesh",,,,Unit
1189,,"Wagholi, Pune, Maharashtra",,,,Unit
1190,,"Joka, Kolkata, West Bengal",,,,Unit
1191,,"Sector 33 Sohna, Gurgaon, Haryana",,,,Unit
1192,,"Sodepur, Kolkata, West Bengal",,,,Unit
1193,,"Jakkur, Bangalore, Karnataka",,,,Unit
1194,,"Kanakapura Road Beyond Nice Ring Road, Bangalore, Karnataka",,,,Unit
1195,,"Whitefield Hope Farm Junction, Bangalore, Karnataka",,,,Unit
1196,,"Whitefield Hope Farm Junction, Bangalore, Karnataka",,,,Unit
1197,,"Sector 89A, Gurgaon, Haryana",,,,Unit
1198,,"Sector 102, Gurgaon, Haryana",,,,Unit
1199,,"Lower Parel, Mumbai, Maharashtra",,,,Unit
1200,,"Baranagar, Kolkata, West Bengal",,,,Unit
1201,,"Sector 150, Noida, Uttar Pradesh",,,,Unit
1202,,"Sector 102, Gurgaon, Haryana",,,,Unit
1203,,"Sector 60, Gurgaon, Haryana",,,,Unit
1204,,"Devanahalli, Bangalore, Karnataka",,,,Unit
1205,,"Kannur on Thanisandra Main Road, Bangalore, Karnataka",,,,Unit
1206,,"PI, Greater Noida, Uttar Pradesh",,,,Unit
1207,,"PI, Greater Noida, Uttar Pradesh",,,,Unit
1208,,"Mahadevapura, Bangalore, Karnataka",,,,Unit
1209,,"Mukundapur, Kolkata, West Bengal",,,,Unit
1210,,"Madhyamgram, Kolkata, West Bengal",,,,Unit
1211,,"Gahunje, Pune, Maharashtra",,,,Unit
1212,,"New Town, Kolkata, West Bengal",,,,Unit
1213,,"Tollygunge, Kolkata, West Bengal",,,,Unit
1214,,"PI, Greater Noida, Uttar Pradesh",,,,Unit
1215,,"Sector 150, Noida, Uttar Pradesh",,,,Unit
1216,,"Jakkur, Bangalore, Karnataka",,,,Unit
1217,,"Tollygunge, Kolkata, West Bengal",,,,Unit
1218,,"Powai, Mumbai, Maharashtra",,,,Unit
1219,,"Sector 33 Sohna, Gurgaon, Haryana",,,,Unit
1220,,"Subramanyapura, Bangalore, Karnataka",,,,Unit
1221,,"Sector 108, Gurgaon, Haryana",,,,Unit
1222,,"Gachibowli, Hyderabad, Andhra Pradesh",,,,Unit
1223,,"Kanjurmarg, Mumbai, Maharashtra",,,,Unit
1224,,"JP Nagar Phase 8, Bangalore, Karnataka",,,,Unit
1225,,"Madurdaha Hussainpur, Kolkata, West Bengal",,,,Unit
1226,,"Padur, Chennai, Tamil Nadu",,,,Unit
1227,,"Appa Junction Peerancheru, Hyderabad, Andhra Pradesh",,,,Unit
1228,,"Hitech City, Hyderabad, Andhra Pradesh",,,,Unit
1229,,"JP Nagar Phase 9, Bangalore, Karnataka",,,,Unit
1230,,"Shaikpet, Hyderabad, Andhra Pradesh",,,,Unit
1231,,"Sanath Nagar, Hyderabad, Andhra Pradesh",,,,Unit
1232,,"Sector 113, Gurgaon, Haryana",,,,Unit
1233,,"Nanakramguda, Hyderabad, Andhra Pradesh",,,,Unit
1234,,"New Town, Kolkata, West Bengal",,,,Unit
1235,,"Kanakapura Road Beyond Nice Ring Road, Bangalore, Karnataka",,,,Unit
1236,,"Perambur, Chennai, Tamil Nadu",,,,Unit
1237,,"Picnic Garden, Kolkata, West Bengal",,,,Unit
1238,,"Kukatpally, Hyderabad, Andhra Pradesh",,,,Unit
1239,,"Karapakkam, Chennai, Tamil Nadu",,,,Unit
1240,,"Joka, Kolkata, West Bengal",,,,Unit
1241,,"Salt Lake City, Kolkata, West Bengal",,,,Unit
1242,,"Begur, Bangalore, Karnataka",,,,Unit
1243,,"Kondapur, Hyderabad, Andhra Pradesh",,,,Unit
1244,,"Garia, Kolkata, West Bengal",,,,Unit
1245,,"Narsingi, Hyderabad, Andhra Pradesh",,,,Unit
1246,,"Budigere Cross, Bangalore, Karnataka",,,,Unit
1247,,"Rajarhat, Kolkata, West Bengal",,,,Unit
1248,,"Dasarahalli on Tumkur Road, Bangalore, Karnataka",,,,Unit
1249,,"Bellandur, Bangalore, Karnataka",,,,Unit
